Image,Product Name,Top Row,Bottom Row,Color/Notes
1.jpg,Soft Plastic Swimbait Assortment,,,Color: Chartreuse/Pearl and Pearl White | Style: Paddle Tail Swimbaits | Notes: No package size/weight label visible in the photo.
2.jpg,Silver Fish Head Jig Heads,,,Pack Count: 3 | Color: Silver Head / Black Hook / Red Eye | Style: Fish Head Jig | Notes: No package size/weight label visible in the photo.
3.jpg,Underspin Swimbait Spinner Rigs,,,Pack Count: 2 rigs with extra blades | Color: Pearl White and Silver Glitter | Style: Swimbait Spinner / Underspin Rig | Notes: No package size/weight label visible in the photo.
4.jpg,Amundson Lures Darter Head,1/8 3/16 1/4 5/16 3/8 oz,#1 1/0 2/0 3/0 4/0,Color: Orange Head / Black Hook
5.jpg,Amundson Lures Darter Head,1/8 3/16 1/4 5/16 3/8 oz,#1 1/0 2/0 3/0 4/0,Color: Unpainted Lead / Black Hook
6.jpg,Amundson Lures Diamond Head,1/8 3/16 1/4 5/16 3/8 oz,#1 1/0 2/0 3/0 4/0,Color: Silver Fish Head / Black Hook / Red Eye
7.jpg,Chartreuse Paddle Tail Swimbait,3 in 4 in,N/A,Color: Chartreuse | Notes: Size estimated from tape measure/photo. No package weight label visible.
8.jpg,Fish On Nick's Lures Sign / Storefront Branding,,,"Phone: 702-510-3365 | Email: 09amundson@gmail.com | Notes: Branding/sign image, not a product spec photo."
11.png,Soft Plastic Swimbait Assortment,,,Color: Chartreuse/Pearl and Pearl White | Style: Paddle Tail Swimbaits | Notes: Edited product photo based on 1.jpg. No package size/weight label visible.
22.png,Silver Fish Head Jig Heads,,,Pack Count: 3 | Color: Silver Head / Black Hook / Red Eye | Style: Fish Head Jig | Notes: Edited product photo based on 2.jpg. No package size/weight label visible.
33.png,Underspin Swimbait Spinner Rigs,,,Pack Count: 2 rigs with extra blades | Color: Pearl White and Silver Glitter | Style: Swimbait Spinner / Underspin Rig | Notes: Edited product photo based on 3.jpg. No package size/weight label visible.
44.png,Amundson Lures Darter Head,1/8 3/16 1/4 5/16 3/8 oz,#1 1/0 2/0 3/0 4/0,Color: Orange Head / Black Hook | Notes: Edited product photo based on 4.jpg.
55.png,Amundson Lures Darter Head,1/8 3/16 1/4 5/16 3/8 oz,#1 1/0 2/0 3/0 4/0,Color: Unpainted Lead / Black Hook | Notes: Edited product photo based on 5.jpg.
66.png,Amundson Lures Diamond Head,1/8 3/16 1/4 5/16 3/8 oz,#1 1/0 2/0 3/0 4/0,Color: Silver Fish Head / Black Hook / Red Eye | Notes: Edited product photo based on 6.jpg.
77.png,Chartreuse Paddle Tail Swimbait,3 in 4 in,N/A,Color: Chartreuse | Notes: Edited product photo based on 7.jpg. Size estimated from tape measure/photo.
logo.png,Fish On Nick's Lures Logo,,,"Phone: 702-510-3365 | Email: 09amundson@gmail.com | Notes: Website/brand logo image, not a product spec photo."
storeExterior.png,Fish On Nick's Lures Store Exterior Concept,,,"Phone: 702-510-3365 | Email: 09amundson@gmail.com | Notes: Marketing/storefront concept image, not a product spec photo."
storeInterior.png,Fish On Nick's Lures Retail Interior Concept,,,"Phone: 702-510-3365 | Email: 09amundson@gmail.com | Notes: Marketing/retail interior concept image, not a product spec photo."
WebsitePic.png,Fish On Nick's Lures Website Homepage Concept,,,"Phone: 702-510-3365 | Email: 09amundson@gmail.com | Notes: Website concept image, not a product spec photo."
